datetime,band_14_bt,band_15_bt,bt_diff,nsat,hi,rh
2025-03-01 06:00:00,-11.315241999999955,-20.913276999999965,9.59803500000001,20.65,19.47,88.09
2025-03-01 06:10:00,31.81003400000003,6.005497000000048,25.804536999999982,20.68,19.46,88.23
2025-03-01 06:20:00,24.779511000000014,20.527622000000008,4.251889000000006,20.72,19.52,88.14
2025-03-01 06:30:00,-1.8085699999999747,24.679539000000034,-26.48810900000001,20.77,19.65,87.78
2025-03-01 06:40:00,9.81644300000005,7.008902000000035,2.8075410000000147,20.75,19.49,88.33
2025-03-01 06:50:00,11.904731000000027,-21.82029099999997,33.725021999999996,21.04,19.79,88.11
2025-03-01 07:00:00,17.78662700000001,-19.65238499999998,37.43901199999999,21.52,20.67,86.09
2025-03-01 07:10:00,8.658192000000042,-15.528911999999991,24.187104000000033,21.98,21.27,85.37
2025-03-01 07:20:00,3.045300999999995,34.98549800000001,-31.940197000000012,22.95,23.09,80.02
2025-03-01 07:30:00,18.21556300000003,24.912507000000005,-6.696943999999974,24.71,25.59,73.23
2025-03-01 07:40:00,44.89688000000001,18.27501600000005,26.62186399999996,26.23,27.46,66.34
2025-03-01 07:50:00,30.113505000000032,8.839572000000032,21.273933,26.16,27.35,65.77
2025-03-01 08:00:00,13.648468000000037,10.429613000000018,3.218855000000019,27.03,28.26,61.95
2025-03-01 08:10:00,3.1905810000000088,4.435139000000049,-1.2445580000000405,27.18,28.5,62.41
2025-03-01 08:20:00,0.5853150000000369,-6.93120399999998,7.516519000000017,27.56,28.87,60.53
2025-03-01 08:30:00,-8.177806999999973,9.059386000000018,-17.23719299999999,27.85,29.17,59.44
2025-03-01 08:40:00,35.59545200000002,23.457829000000004,12.13762300000002,28.33,29.73,58.23
2025-03-01 08:50:00,4.051480000000026,12.236098000000027,-8.184618,28.35,29.62,57.03
2025-03-01 09:00:00,-22.146978999999988,-12.431772999999964,-9.715206000000023,28.53,29.88,57.07
2025-03-01 09:10:00,30.233212000000037,-3.58698499999997,33.82019700000001,28.17,29.36,56.97
2025-03-01 09:20:00,32.876236000000006,11.320868000000019,21.555367999999987,28.63,29.88,55.92
2025-03-01 09:30:00,-16.382525999999984,26.102242000000047,-42.48476800000003,29.43,30.77,53.77
2025-03-01 09:40:00,-8.314301999999998,9.187804000000028,-17.502106000000026,29.09,30.35,54.36
2025-03-01 09:50:00,41.88228000000004,27.044056000000012,14.838224000000025,29.29,30.62,54.1
2025-03-01 10:00:00,-10.026544999999999,-35.62980399999998,25.60325899999998,29.14,30.47,54.65
2025-03-01 10:10:00,-20.89773199999999,5.8874830000000316,-26.785215000000022,29.71,31.11,53.13
2025-03-01 10:20:00,3.166663000000028,28.64037400000001,-25.47371099999998,29.98,31.47,52.77
2025-03-01 10:30:00,3.026693000000023,-11.462841999999966,14.48953499999999,30.25,31.91,52.8
2025-03-01 10:40:00,-22.45581999999999,-25.659670999999975,3.203850999999986,30.14,31.77,52.97
2025-03-01 10:50:00,-3.6608459999999923,-4.165998999999999,0.5051530000000071,30.07,31.62,52.77
2025-03-01 11:00:00,29.36659400000002,3.1053590000000213,26.261235,30.28,31.95,52.75
2025-03-01 11:10:00,4.276523999999995,10.444169000000045,-6.16764500000005,30.5,32.27,52.52
2025-03-01 11:20:00,-20.62730799999997,3.711072999999999,-24.33838099999997,30.11,31.95,54.3
2025-03-01 11:30:00,16.44677900000005,-11.692449999999951,28.139229,30.63,32.61,53.11
2025-03-01 11:40:00,33.493066,-3.363275999999985,36.856341999999984,31.42,33.45,50.59
2025-03-01 11:50:00,-27.69031499999997,1.9446140000000014,-29.63492899999997,30.77,32.58,51.75
2025-03-01 12:00:00,-1.700427999999988,15.117509000000041,-16.81793700000003,31.0,33.05,52.11
2025-03-01 12:10:00,17.571718000000033,35.754638,-18.182919999999967,31.14,33.07,51.11
2025-03-01 12:20:00,-4.710153999999989,-2.8328769999999963,-1.8772769999999923,31.29,33.32,51.03
2025-03-01 12:30:00,-34.18699099999998,-9.705066999999985,-24.481923999999992,31.19,33.05,50.54
2025-03-01 12:40:00,29.951659000000006,34.10906600000004,-4.157407000000035,32.14,34.39,49.03
2025-03-01 12:50:00,3.103204000000005,45.576189,-42.472984999999994,32.27,34.55,48.71
2025-03-01 13:00:00,23.535046000000023,8.195705000000032,15.33934099999999,32.33,34.25,47.01
2025-03-01 13:10:00,18.69809600000002,15.617557000000033,3.0805389999999875,32.29,34.23,47.22
2025-03-01 13:20:00,12.978790000000004,8.663490000000024,4.315299999999979,32.79,35.16,47.33
2025-03-01 13:30:00,-1.18389099999996,8.312599000000034,-9.496489999999994,33.04,35.49,46.8
2025-03-01 13:40:00,25.21810400000004,0.4749240000000441,24.743179999999995,32.9,35.18,46.61
2025-03-01 13:50:00,13.977388000000019,5.994168000000002,7.983220000000017,33.24,35.87,46.84
2025-03-01 14:00:00,-18.759559999999965,8.452463000000023,-27.212022999999988,32.99,35.5,47.19
2025-03-01 14:10:00,35.70389400000005,-16.435720000000003,52.13961400000005,31.69,33.61,49.12
2025-03-01 14:20:00,59.08438000000001,-23.352942999999982,82.43732299999999,31.96,34.05,48.99
2025-03-01 14:30:00,32.14226000000002,-22.279840999999976,54.422101,31.33,33.2,50.08
2025-03-01 14:40:00,8.606759000000011,4.31065000000001,4.296109000000001,30.97,33.01,52.16
2025-03-01 14:50:00,31.458008000000007,-10.943093999999974,42.40110199999998,30.76,32.83,53.15
2025-03-01 15:00:00,-12.210194999999999,1.4832790000000386,-13.693474000000037,30.68,32.85,53.94
2025-03-01 15:10:00,13.27669400000002,6.927768000000015,6.348926000000006,30.7,32.95,54.23
2025-03-01 15:20:00,-27.707519999999988,-14.563761999999997,-13.143757999999991,31.01,33.36,53.5
2025-03-01 15:30:00,5.299679000000026,-57.61504899999997,62.914728,31.76,34.45,52.18
2025-03-01 15:40:00,43.786811,-26.09519099999997,69.88200199999997,31.47,33.84,51.95
2025-03-01 15:50:00,-7.010271999999986,32.505825000000016,-39.516097,30.98,33.37,53.83
2025-03-01 16:00:00,17.099390000000028,-12.809631999999965,29.909021999999993,31.01,33.37,53.54
2025-03-01 16:10:00,3.5974930000000427,15.736902000000043,-12.139409,30.44,32.76,55.56
2025-03-01 16:20:00,-9.70143399999995,30.420713000000035,-40.122146999999984,30.24,32.53,56.22
2025-03-01 16:30:00,9.762203999999997,-28.453952999999984,38.21615699999998,30.03,32.4,57.48
2025-03-01 16:40:00,6.689671000000033,-21.46801099999999,28.157682000000023,29.8,31.98,57.45
2025-03-01 16:50:00,-10.341890999999976,-9.025947999999971,-1.3159430000000043,29.8,31.97,57.39
2025-03-01 17:00:00,52.89305300000001,-21.399871999999988,74.292925,29.64,31.67,57.18
2025-03-01 17:10:00,-0.7033349999999814,12.40938200000005,-13.112717000000032,29.32,31.46,59.31
2025-03-01 17:20:00,-18.631748999999985,-18.02034899999998,-0.6114000000000033,29.22,31.45,60.23
2025-03-01 17:30:00,-2.498641999999961,-32.43284299999999,29.93420100000003,28.9,31.09,61.51
2025-03-01 17:40:00,27.300114000000008,-25.289724999999976,52.589838999999984,28.31,30.36,63.43
2025-03-01 17:50:00,30.144998000000044,-7.623995999999977,37.76899400000002,28.02,30.04,64.73
2025-03-02 06:00:00,33.515872,-6.880525999999975,40.39639799999998,22.9,22.04,87.6
2025-03-02 06:10:00,3.958416999999997,18.725014000000044,-14.766597000000047,22.97,22.11,87.78
2025-03-02 06:20:00,40.330805999999995,5.8872800000000325,34.44352599999996,23.09,22.35,87.36
2025-03-02 06:30:00,-17.664859999999976,8.817934000000037,-26.482794000000013,23.23,22.63,86.75
2025-03-02 06:40:00,6.056464000000005,-10.27740399999999,16.333867999999995,23.37,22.91,86.19
2025-03-02 06:50:00,0.13199300000002268,20.01205600000003,-19.880063000000007,23.6,23.29,85.9
2025-03-02 07:00:00,-21.84811899999997,3.2516070000000354,-25.099726000000004,23.78,23.7,84.55
2025-03-02 07:10:00,45.074028999999996,20.302323,24.771705999999995,24.05,24.21,83.34
2025-03-02 07:20:00,-13.530904999999962,28.81125400000002,-42.34215899999998,24.46,24.93,82.1
2025-03-02 07:30:00,40.82802300000003,20.266778000000045,20.561244999999985,24.85,25.62,80.7
2025-03-02 07:40:00,28.19663300000002,-2.4191260000000057,30.615759000000025,25.13,26.1,79.34
